google_map_km,google_map_estimate_time,battery_percent_before,drivable_km_before,total_km_before,temperature_before,timestamp_before,date_before,battery_percent_after,drivable_km_after,total_km_after,temperature_after,timestamp_after,date_after
4.8,6,57,57,2767,28,08:34,2025-02-17,56,255,2772,29,08:44,2025-02-17
15.0,26,55,248,2776,33,19:07,2025-02-17,51,229,2791,32,19:32,2025-02-17
5.5,10,51,228,2791,28,08:40,2025-02-18,50,224,2796,27,08:53,2025-02-18
6.0,18,50,224,2797,33,17:51,2025-02-18,48,215,2803,35,18:12,2025-02-18
2.1000000000000005,4,43,189,2825,31,20:36,2025-02-18,43,187,2828,31,20:42,2025-02-18
5.5,9,43,187,2828,28,08:32,2025-02-19,42,182,2833,29,08:46,2025-02-19
15.0,22,81,387,2837,33,19:07,2025-02-19,78,370,2852,32,19:31,2025-02-19
5.5,9,78,370,2852,28,08:40,2025-02-20,77,365,2857,29,08:49,2025-02-20
15.0,30,78,371,2861,33,18:57,2025-02-20,75,355,2876,33,19:25,2025-02-20
5.5,8,75,355,2876,29,08:39,2025-02-21,74,350,2881,30,08:49,2025-02-21
16.0,24,66,307,2912,28,23:31,2025-02-21,63,290,2927,28,23:53,2025-02-21
13.0,13,63,290,2927,28,23:54,2025-02-21,60,276,2940,29,00:07,2025-02-22
5.4,8,60,274,2940,27,08:39,2025-02-24,58,268,2946,29,08:49,2025-02-24
15.0,29,83,397,2949,29,19:04,2025-02-24,80,381,2964,29,19:32,2025-02-24
6.3,13,80,381,2964,27,08:37,2025-02-25,79,376,2970,26,08:52,2025-02-25
40.0,47,75,360,2985,26,07:00,2025-02-26,65,302,3031,25,07:42,2025-02-26
32.0,33,65,301,3031,31,15:03,2025-02-26,55,250,3065,34,15:38,2025-02-26
5.4,8,55,250,3065,27,08:44,2025-02-27,54,245,3070,30,08:54,2025-02-27
5.5,9,81,387,3093,28,08:11,2025-02-28,80,382,3098,30,08:20,2025-02-28
15.0,43,77,372,3101,33,17:52,2025-02-28,74,354,3115,34,18:38,2025-02-28
64.0,72,73,348,3117,34,13:50,2025-03-01,58,273,3174,36,14:58,2025-03-01
4.6,7,58,263,3174,33,19:17,2025-03-01,56,257,3179,32,19:26,2025-03-01
57.0,50,49,222,3207,33,19:12,2025-03-02,39,168,3259,33,20:05,2025-03-02
5.5,10,39,168,3259,29,08:03,2025-03-03,38,163,3265,31,08:14,2025-03-03
15.0,25,78,370,3291,32,19:35,2025-03-04,75,355,3306,33,19:59,2025-03-04
42.0,52,75,354,3306,29,07:12,2025-03-05,63,294,3348,31,08:08,2025-03-05
30.0,30,62,285,3354,30,15:01,2025-03-05,55,248,3383,38,15:33,2025-03-05
33.0,36,54,244,3386,29,06:56,2025-03-06,48,211,3418,30,07:36,2025-03-06
17.0,40,86,412,3507,27,19:28,2025-03-07,82,395,3524,26,20:15,2025-03-07
13.0,16,79,377,3542,24,07:12,2025-03-08,77,365,3554,25,07:28,2025-03-08
57.0,52,61,283,3620,29,18:48,2025-03-08,50,224,3672,30,19:42,2025-03-08
5.5,9,50,224,3672,29,08:33,2025-03-10,49,220,3677,31,08:43,2025-03-10
5.5,10,50,223,3677,37,13:14,2025-03-12,49,215,3624,37,13:24,2025-03-12
7.8,12,40,171,3860,30,11:24,2025-03-14,39,165,3867,34,11:35,2025-03-14
15.0,33,52,232,3973,35,18:19,2025-03-17,49,214,3988,34,18:57,2025-03-17
3.6,14,48,210,3994,35,18:11,2025-03-18,47,206,3997,37,18:27,2025-03-18
14.0,22,47,206,3997,36,18:44,2025-03-18,44,192,4012,35,19:05,2025-03-18
5.5,9,44,191,4012,30,08:39,2025-03-19,43,188,4017,30,08:49,2025-03-19
58.0,54,39,170,4032,33,12:19,2025-03-19,24,93,4087,33,13:06,2025-03-19
18.0,30,56,254,4186,33,15:55,2025-03-22,52,233,4204,36,16:30,2025-03-22
47.0,47,52,232,4204,36,16:35,2025-03-22,42,182,4246,36,17:26,2025-03-22
4.6,12,50,221,4286,29,08:01,2025-03-23,49,217,4291,31,08:14,2025-03-23
36.0,36,81,391,4371,30,06:53,2025-03-24,70,341,4405,28,07:22,2025-03-24
15.0,33,84,404,4502,37,18:02,2025-03-28,80,384,4517,37,18:35,2025-03-28
45.0,52,80,384,4517,36,13:21,2025-03-29,68,327,4561,38,14:07,2025-03-29
56.0,47,41,182,4817,31,22:40,2025-03-30,27,112,4869,29,23:22,2025-03-30
